Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Highest_Score_Max,Boundary_Percentage,Batting_Strike_Rate,Batting_Average,Bowling_Strike_Rate,Economy_Rate,has_old_experience
Abdul Samad,10.214285714285714,2.4285714285714284,127.07142857142857,82.85714285714286,0.0,0.0,7.928571428571429,8.714285714285714,4.785714285714286,0.0,10.214285714285714,5.142857142857143,10.5,0.14285714285714285,0.0,0.0,45.0,0.20086206896551723,153.36206896551724,16.321100917431195,36.00000000000001,12.25,0
Abhishek Sharma,11.6875,0.5625,310.375,187.25,0.1875,1.6875,30.5,17.4375,4.125,0.0,11.6875,46.5,71.9375,1.1875,0.0,0.0,141.0,0.2560080106809079,165.7543391188251,27.89887640449438,39.1578947368421,9.28225806451613,0
Abishek Porel,10.333333333333334,1.0,220.33333333333334,147.0,0.0,1.0,21.666666666666668,9.0,3.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,65.0,0.20861678004535147,149.88662131519274,23.607142857142858,99.9,0.0,0
Adam Milne,1.75,0.25,4.0,4.25,0.0,0.0,0.0,0.25,0.5,0.0,1.75,32.25,47.0,0.75,0.0,0.0,15.0,0.058823529411764705,94.11764705882352,2.6666666666666665,43.0,8.744186046511627,1
Aiden Markram,12.23076923076923,1.9230769230769231,309.84615384615387,227.69230769230768,0.0,2.3076923076923075,23.76923076923077,12.538461538461538,6.923076923076923,0.0,12.23076923076923,39.46153846153846,59.69230769230769,1.3846153846153846,0.0,0.0,66.0,0.15945945945945947,136.0810810810811,30.059701492537318,28.5,9.076023391812866,0
Ajinkya Rahane,11.3125,0.5,259.8125,190.25,0.0625,1.125,24.25,9.8125,4.0,0.0,11.3125,0.0,0.0,0.0,0.0,0.0,61.0,0.1790407358738502,136.56373193166885,24.028901734104046,99.9,0.0,1
Akash Deep,3.5,0.5,6.25,3.5,0.0,0.0,0.5,0.5,0.75,0.0,3.5,69.5,137.0,2.5,0.0,0.0,17.0,0.2857142857142857,178.57142857142858,2.0833333333333335,27.8,11.827338129496402,0
Akash Singh,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,4.0,81.0,128.57142857142858,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.523809523809526,0
Angkrish Raghuvanshi,11.0,1.0,231.5,160.0,0.0,1.0,23.0,8.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,54.0,0.19375,144.6875,23.15,99.9,0.0,0
Aniket Verma,14.0,3.0,236.0,142.0,0.0,1.0,12.0,20.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,74.0,0.22535211267605634,166.19718309859155,21.454545454545453,99.9,0.0,0
Anrich Nortje,6.857142857142857,1.7857142857142858,9.5,9.642857142857142,0.0,0.0,1.2857142857142858,0.0,1.6428571428571428,0.0,6.857142857142857,156.57142857142858,255.21428571428572,8.214285714285714,0.0,0.0,4.0,0.13333333333333336,98.51851851851853,1.8732394366197185,19.060869565217395,9.780109489051094,0
Anshul Kamboj,5.5,2.0,8.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,5.5,94.5,143.0,5.0,0.0,0.0,0.0,0.14285714285714285,114.28571428571428,2.2857142857142856,18.9,9.079365079365079,0
Anuj Rawat,6.8,1.5,95.4,79.9,0.0,0.3,7.8,4.2,4.5,0.0,6.8,0.0,0.0,0.0,0.0,0.0,66.0,0.1501877346683354,119.39924906132666,18.0,99.9,0.0,0
Anukul Roy,2.6153846153846154,0.6923076923076923,6.0,5.769230769230769,0.0,0.0,0.6923076923076923,0.0,1.3846153846153846,0.0,2.6153846153846154,35.07692307692308,48.61538461538461,1.2307692307692308,0.0,0.0,0.0,0.12,104.0,3.12,28.5,8.315789473684209,0
Arjun Tendulkar,2.5,0.0,6.5,4.5,0.0,0.0,0.0,0.5,0.0,0.0,2.5,36.5,57.0,1.5,0.0,0.0,13.0,0.1111111111111111,144.44444444444443,2.6,24.333333333333332,9.36986301369863,0
Arshdeep Singh,13.333333333333334,1.3333333333333333,5.933333333333334,8.4,0.0,0.0,0.8,0.0,2.4,0.0,13.333333333333334,281.8666666666667,424.8,15.4,0.4,0.06666666666666667,4.0,0.09523809523809523,70.63492063492063,0.49444444444444446,18.303030303030305,9.042573320719017,0
Arshin Kulkarni,2.0,0.0,9.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.25,112.5,4.5,99.9,0.0,0
Ashutosh Sharma,12.0,2.0,196.5,120.0,0.0,1.0,12.0,14.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,61.0,0.21666666666666667,163.75,19.65,99.9,0.0,0
Ashwani Kumar,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,123.0,232.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,11.181818181818182,11.317073170731707,0
Avesh Khan,11.0625,2.0,10.5,6.1875,0.0,0.0,0.875,0.75,1.8125,0.0,11.0625,233.8125,366.375,12.625,0.1875,0.0,12.0,0.26262626262626265,169.6969696969697,1.1586206896551725,18.519801980198018,9.401764234161988,1
Axar Patel,13.0625,3.25,202.25,143.4375,0.0,0.5625,15.375,10.375,7.3125,0.0,13.0625,254.25,316.6875,8.5,0.0,0.0,66.0,0.17952069716775598,141.00217864923746,20.611464968152866,29.91176470588235,7.473451327433629,1
Ayush Badoni,14.0,2.5,240.75,173.75,0.0,1.5,18.25,9.5,4.5,0.0,14.0,8.75,12.25,1.0,0.0,0.0,74.0,0.15971223021582734,138.5611510791367,20.934782608695652,8.75,8.399999999999999,0
Ayush Mhatre,7.0,0.0,240.0,127.0,0.0,1.0,31.0,11.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,94.0,0.33070866141732286,188.9763779527559,34.285714285714285,99.9,0.0,0
Azmatullah Omarzai,8.0,0.5,49.5,37.0,0.0,0.0,4.0,2.5,0.5,0.0,8.0,144.0,232.5,6.0,0.0,0.0,17.0,0.17567567567567569,133.7837837837838,6.6,24.0,9.6875,0
Bhuvneshwar Kumar,13.5,2.6875,23.0,28.0,0.0,0.0,2.375,0.0,2.4375,0.0,13.5,299.1875,420.0625,12.4375,0.0,0.1875,27.0,0.08482142857142858,82.14285714285714,2.1271676300578033,24.055276381909547,8.42406517651974,1
Cameron Green,14.5,5.5,353.5,230.0,0.5,1.0,31.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.20434782608695654,153.69565217391303,39.27777777777778,99.9,0.0,0
Corbin Bosch,3.0,0.0,47.0,32.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,42.0,55.0,1.0,0.0,0.0,27.0,0.1875,146.875,15.666666666666666,42.0,7.857142857142858,0
David Miller,11.1875,4.6875,232.5,166.4375,0.0,0.6875,17.625,9.75,5.75,0.0,11.1875,0.0,0.0,0.0,0.0,0.0,62.0,0.16447615471273,139.69207660533235,35.76923076923077,99.9,0.0,1
Deepak Chahar,11.846153846153847,1.3076923076923077,13.76923076923077,10.153846153846153,0.0,0.0,0.8461538461538461,0.7692307692307693,1.5384615384615385,0.0,11.846153846153847,232.69230769230768,325.53846153846155,11.153846153846153,0.15384615384615385,0.0,39.0,0.15909090909090912,135.60606060606062,1.3065693430656935,20.862068965517242,8.39404958677686,1
Devdutt Padikkal,11.714285714285714,0.5,260.7142857142857,205.42857142857142,0.07142857142857142,1.5,27.142857142857142,8.857142857142858,4.071428571428571,0.0,11.714285714285714,0.0,0.0,0.0,0.0,0.0,74.0,0.17524339360222532,126.9123783031989,23.248407643312103,99.9,0.0,0
Dewald Brevis,5.333333333333333,0.0,151.66666666666666,99.0,0.0,0.6666666666666666,10.0,11.0,3.3333333333333335,0.0,5.333333333333333,1.0,2.6666666666666665,0.3333333333333333,0.0,0.0,57.0,0.21212121212121213,153.19865319865318,28.4375,3.0,16.0,0
Dhruv Jurel,14.0,3.6666666666666665,226.66666666666666,147.33333333333334,0.0,1.3333333333333333,17.0,12.666666666666666,6.333333333333333,0.0,14.0,0.0,0.0,0.0,0.0,0.0,70.0,0.2013574660633484,153.84615384615384,21.93548387096774,99.9,0.0,0
Digvesh Singh,13.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,312.0,429.0,14.0,0.0,0.0,1.0,0.0,33.33333333333333,0.08333333333333333,22.285714285714285,8.25,0
Donovan Ferreira,1.5,0.0,4.5,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,7.0,0.0,64.28571428571429,3.0,99.9,0.0,0
Dushmantha Chameera,6.333333333333333,2.3333333333333335,17.666666666666668,14.0,0.0,0.0,1.0,1.0,1.0,0.0,6.333333333333333,124.0,201.0,4.333333333333333,0.0,0.0,17.0,0.14285714285714285,126.1904761904762,4.416666666666668,28.615384615384617,9.725806451612902,0
Eshan Malinga,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,160.0,238.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.307692307692308,8.925,0
Glenn Phillips,4.5,0.25,35.75,24.75,0.0,0.0,1.75,3.5,1.75,0.0,4.5,16.5,20.0,1.0,0.0,0.0,25.0,0.21212121212121213,144.44444444444443,8.411764705882353,16.5,7.272727272727273,0
Gurnoor Singh Brar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,14.0,0
Hardik Pandya,14.6875,3.3125,305.5625,213.125,0.0,1.3125,25.1875,13.75,5.375,0.0,14.6875,174.25,269.25,8.75,0.0,0.1875,91.0,0.18269794721407626,143.3724340175953,26.86263736263736,19.914285714285715,9.27116212338594,1
Harpreet Brar,8.466666666666667,2.0,37.6,31.266666666666666,0.0,0.0,3.1333333333333333,1.6,2.533333333333333,0.0,8.466666666666667,136.6,186.6,6.333333333333333,0.2,0.0,29.0,0.1513859275053305,120.25586353944564,5.814432989690721,21.568421052631578,8.19619326500732,0
Harsh Dubey,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,98.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.8,0
Harshal Patel,12.1875,1.5,24.3125,23.4375,0.0,0.0,1.5,1.25,2.6875,0.0,12.1875,253.8125,384.375,16.4375,0.625,0.0625,31.0,0.11733333333333333,103.73333333333335,2.2748538011695905,15.44106463878327,9.086431913321842,1
Harshit Rana,8.5,1.0,14.75,14.0,0.0,0.0,1.25,0.75,3.0,0.0,8.5,162.25,257.25,10.0,0.0,0.0,34.0,0.14285714285714285,105.35714285714286,1.9666666666666666,16.225,9.513097072419107,0
Heinrich Klaasen,11.818181818181818,2.0,391.6363636363636,227.45454545454547,0.5454545454545454,1.9090909090909092,25.818181818181817,24.09090909090909,5.181818181818182,1.1818181818181819,11.818181818181818,0.0,0.0,0.0,0.0,0.0,104.0,0.21942446043165464,172.18225419664267,39.888888888888886,99.9,0.0,0
Ishan Kishan,13.6875,1.0625,360.6875,259.8125,0.1875,2.0,36.75,15.0625,8.4375,0.6875,13.6875,0.1875,0.75,0.0,0.0,0.0,99.0,0.19942266057252828,138.82607649747413,28.56930693069307,99.9,24.0,1
Ishant Sharma,7.416666666666667,1.0,1.3333333333333333,2.25,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0833333333333333,0.0,7.416666666666667,136.0,208.33333333333334,7.166666666666667,0.0,0.0,0.0,0.07407407407407407,59.25925925925925,0.20779220779220778,18.97674418604651,9.191176470588236,1
Jacob Bethell,2.0,0.0,67.0,39.0,0.0,1.0,9.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,0.3076923076923077,171.7948717948718,33.5,99.9,0.0,0
Jamie Overton,3.0,2.0,15.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,36.0,83.0,0.0,0.0,0.0,0.0,0.2857142857142857,214.28571428571428,15.0,99.9,13.833333333333332,0
Jason Holder,7.5,1.5,75.5,62.5,0.0,0.0,3.5,4.5,1.0,0.0,7.5,179.5,240.0,15.0,0.5,0.0,0.0,0.128,120.8,12.583333333333334,11.966666666666667,8.022284122562674,1
Jasprit Bumrah,13.538461538461538,2.923076923076923,5.153846153846154,7.3076923076923075,0.0,0.0,0.46153846153846156,0.0,1.9230769230769231,0.0,13.538461538461538,317.61538461538464,361.53846153846155,18.692307692307693,0.38461538461538464,0.46153846153846156,0.0,0.06315789473684211,70.5263157894737,0.48550724637681164,16.991769547325102,6.829740857350448,1
Jayant Yadav,2.0,0.16666666666666666,5.666666666666667,4.333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,1.6666666666666667,0.0,2.0,43.0,50.166666666666664,0.6666666666666666,0.0,0.0,23.0,0.11538461538461539,130.7692307692308,3.0909090909090913,64.5,6.999999999999999,1
Jaydev Unadkat,7.3125,1.1875,23.5,18.3125,0.0,0.0,1.875,0.9375,1.3125,0.0,7.3125,143.125,225.5,6.5,0.0,0.0,26.0,0.15358361774744028,128.32764505119454,3.836734693877551,22.01923076923077,9.453275109170306,1
Jitesh Sharma,13.75,2.0,247.75,157.75,0.0,0.25,19.25,15.5,11.0,1.25,13.75,0.0,0.0,0.0,0.0,0.0,44.0,0.2202852614896989,157.05229793977813,21.085106382978722,99.9,0.0,0
Jofra Archer,9.555555555555555,2.111111111111111,44.0,31.77777777777778,0.0,0.0,2.2222222222222223,2.888888888888889,1.6666666666666667,0.0,9.555555555555555,222.66666666666666,316.0,9.444444444444445,0.0,0.0,30.0,0.16083916083916083,138.46153846153845,5.91044776119403,23.576470588235292,8.51497005988024,0
Jos Buttler,13.0625,1.8125,493.5625,330.5625,1.1875,3.0625,48.9375,21.8125,7.0625,0.4375,13.0625,0.0,0.0,0.0,0.0,0.0,124.0,0.2140291170353564,149.30988844772168,43.87222222222222,99.9,0.0,1
Josh Hazlewood,8.454545454545455,1.9090909090909092,5.181818181818182,7.909090909090909,0.0,0.0,0.2727272727272727,0.0,0.6363636363636364,0.0,8.454545454545455,187.36363636363637,261.27272727272725,13.363636363636363,0.5454545454545454,0.0,0.0,0.034482758620689655,65.51724137931035,0.7916666666666666,14.020408163265307,8.366812227074234,0
Josh Inglis,11.0,2.0,278.0,171.0,0.0,1.0,26.0,16.0,9.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,73.0,0.24561403508771928,162.5730994152047,30.88888888888889,99.9,0.0,0
KL Rahul,13.0,1.9375,524.6875,383.75,0.6875,3.875,45.6875,20.75,8.1875,0.4375,13.0,0.0,0.0,0.0,0.0,0.0,82.0,0.1731270358306189,136.72638436482086,47.429378531073446,99.9,0.0,1
Kagiso Rabada,9.733333333333333,1.8666666666666667,20.933333333333334,18.066666666666666,0.0,0.0,1.4,1.2,2.933333333333333,0.0,9.733333333333333,219.86666666666667,325.8666666666667,13.266666666666667,0.6666666666666666,0.0,25.0,0.14391143911439114,115.86715867158672,2.661016949152543,16.57286432160804,8.892662219526986,1
Kamindu Mendis,5.0,2.0,92.0,69.0,0.0,0.0,7.0,2.0,1.0,0.0,5.0,42.0,60.0,2.0,0.0,0.0,0.0,0.13043478260869565,133.33333333333331,30.666666666666668,21.0,8.571428571428571,0
Kartik Tyagi,2.909090909090909,0.2727272727272727,2.4545454545454546,2.5454545454545454,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,1.2727272727272727,28.454545454545453,44.63636363636363,1.1818181818181819,0.0,0.0,7.0,0.10714285714285714,96.42857142857143,0.9310344827586206,24.076923076923073,9.412140575079873,0
Karun Nair,5.666666666666667,0.1111111111111111,107.11111111111111,71.11111111111111,0.0,0.5555555555555556,11.11111111111111,4.777777777777778,2.111111111111111,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,89.0,0.22343749999999998,150.625,19.279999999999998,99.9,0.0,1
Khaleel Ahmed,10.3125,0.375,0.25,1.0625,0.0,0.0,0.0,0.0,0.8125,0.0,10.3125,223.875,338.25,12.6875,0.0,0.0,1.0,0.0,23.52941176470588,0.025157232704402517,17.645320197044335,9.065326633165828,0
Krunal Pandya,14.5625,4.125,156.375,126.5625,0.0,0.1875,12.6875,5.1875,6.0,0.0,14.5625,242.4375,306.25,10.0625,0.1875,0.0,49.0,0.14123456790123456,123.55555555555556,14.982035928143713,24.093167701863354,7.5792730085073465,1
Kuldeep Sen,4.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,4.0,80.33333333333333,129.0,4.666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,17.21428571428571,9.634854771784234,0
