name,role,batting_style,bowling_style
Rohit Sharma,Batter,Right,right off-spin
Arshdeep Singh,Bowler (Left-arm Fast),Left,left fast
Ruturaj Gaikwad,Batter,Right,no-bowling
Sunil Narine,All-Rounder (Spin),Left,right off-spin
Josh Hazlewood,Bowler (Right-arm Fast),Left,right fast
Rishabh Pant,Wicketkeeper-Batter,Left,no-bowling
Ravindra Jadeja,All-Rounder,Left,left off-spin
Travis Head,Batter,Left,right off-spin
KL Rahul,Wicketkeeper-Batter,Right,no-bowling
Shubman Gill,Batter,Right,no-bowling
Yashasvi Jaiswal,Batter,Left,right leg-spin
Virat Kohli,Batter,Right,right medium-fast
Tilak Varma,Batter,Left,right off-spin
Rinku Singh,Batter,Left,right off-spin
Sai Sudarshan,Batter,Left,right leg-spin
Suryakumar Yadav,Batter,Right,right off-spin
Rajat Patidar,Batter,Right,right off-spin
Dewald Brevis,Batter,Right,right leg-spin
Jasprit Bumrah,Bowler (Right-arm Fast),Right,right fast
Harshal Patel,Bowler (Right-arm Medium),Right,right medium-fast
Mitchell Starc,Bowler (Left-arm Fast),Left,left fast
Trent Boult,Bowler (Left-arm Fast),Right,left fast
Pat Cummins,Bowler (Right-arm Fast),Right,right fast
Kagiso Rabada,Bowler (Right-arm Fast),Left,right fast
Harshit Rana,Bowler (Right-arm Fast),Right,right fast
Abhishek Sharma,All-Rounder,Left,left off-spin
Hardik Pandya,All-Rounder,Right,right medium-fast
Shivam Dube,All-Rounder,Left,right medium-fast
Nitish Kumar Reddy,All-Rounder,Right,right medium-fast
Axar Patel,All-Rounder (Spin),Left,left off-spin
Sam Curran,All-Rounder,Left,left medium-fast
Romario Shepherd,All-Rounder,Right,right medium-fast
Mitchell Marsh,All-Rounder,Right,right medium-fast
Jos Buttler,Wicketkeeper-Batter,Right,no-bowling
MS Dhoni,Wicketkeeper-Batter,Right,no-bowling
Sanju Samson,Wicketkeeper-Batter,Right,no-bowling
Nicholas Pooran,Wicketkeeper-Batter,Left,no-bowling
Heinrich Klaasen,Wicketkeeper-Batter,Right,no-bowling
Ishan Kishan,Wicketkeeper-Batter,Left,no-bowling
Josh Inglis,WICKETKEEPER,Right,no-bowling
Rashid Khan,Bowler (Leg-spin),Right,right leg-spin
Varun Chakravarthy,Bowler (Mystery Spin),Right,right leg-spin
Kuldeep Yadav,Bowler (Left-arm Wrist Spin),Left,left leg-spin
Sai Kishore,Bowler (Left-arm Spin),Left,left off-spin
Noor Ahmad,Bowler (Left-arm Spin),Right,left leg-spin
Ravi Bishnoi,BOWLER,Right,right leg-spin
Akeal Hosein,BOWLER,Left,left off-spin
Maheesh Theekshana,BOWLER,Right,right off-spin
David Miller,BATTER,Left,no-bowling
Rovman Powell,Batter,Right,right medium-fast
Shreyas Iyer,Batter,Right,right leg-spin
Aiden Markram,Batter / All-Rounder,Right,right off-spin
Abdul Samad,Batter,Right,right leg-spin
